Entry	Gene Names (primary)	Gene Names (ordered locus)	Gene Ontology (biological process)
A0A0B7P3V8	TY4B-P	YPL060C-A	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition [GO:0032196]
D6VTK4	STE2	YFL026W	cytogamy [GO:0000755]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]
O13297	CET1	YPL228W	7-methylguanosine mRNA capping [GO:0006370]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]
O13329	FOB1	YDR110W	chromatin organization [GO:0006325]; chromosome segregation [GO:0007059]; DNA recombination [GO:0006310]; maintenance of DNA repeat elements [GO:0043570]; maintenance of rDNA [GO:0043007]; negative regulation of DNA replication [GO:0008156]; positive regulation of DNA recombination [GO:0045911]; protein localization to nucleolar rDNA repeats [GO:0034503]; rDNA chromatin condensation [GO:0070550]; rDNA heterochromatin formation [GO:0000183]; replication fork arrest at rDNA repeats [GO:0031582]
O13516	RPS9A	YPL081W	ascospore wall assembly [GO:0030476]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]
O13525	COQ4	YDR204W	ubiquinone biosynthetic process [GO:0006744]
O13527	TY1B-A	YAR009C	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]
O13535	TY1B-H	YHR214C-B	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition [GO:0032196]; viral translational frameshifting [GO:0075523]
O13539	THP2	YHR167W	cellular response to azide [GO:0097185]; DNA recombination [GO:0006310]; mRNA export from nucleus [GO:0006406]; stress granule assembly [GO:0034063]; transcription elongation by RNA polymerase II [GO:0006368]
O13547	CCW14	YLR390W-A	fungal-type cell wall organization [GO:0031505]
O13563	RPN13	YLR421C	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]
O14455	RPL36B	YPL249C-A	cytoplasmic translation [GO:0002181]; cytosolic large ribosomal subunit assembly [GO:0180023]; maturation of LSU-rRNA [GO:0000470]
O14467	MBF1	YOR298C-A	DNA-templated transcription [GO:0006351]; GCN2-mediated signaling [GO:0140469]; maintenance of translational fidelity [GO:1990145]; rescue of stalled cytosolic ribosome [GO:0072344]
O60200	MDM35	YKL053C-A	intermembrane phospholipid transfer [GO:0120010]; mitochondrial respiratory chain complex assembly [GO:0033108]; mitochondrion organization [GO:0007005]; phospholipid transport [GO:0015914]; regulation of membrane lipid distribution [GO:0097035]
O74700	TIM9	YEL020W-A	protein insertion into mitochondrial inner membrane [GO:0045039]; protein transport [GO:0015031]
O94742	SEM1	YDR363W-A	DNA-templated transcription [GO:0006351]; double-strand break repair via homologous recombination [GO:0000724]; filamentous growth [GO:0030447]; maintenance of DNA trinucleotide repeats [GO:0035753]; mRNA export from nucleus [GO:0006406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of cell cycle [GO:0051726]; SAGA complex localization to transcription regulatory region [GO:0072742]; ubiquitin-dependent protein catabolic process [GO:0006511]
P00044	CYC1	YJR048W	mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
P00127	QCR6	YFR033C	aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; proton transmembrane transport [GO:1902600]
P00128	QCR7	YDR529C	aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]; proton transmembrane transport [GO:1902600]
P00163	COB	Q0105	aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
P00175	CYB2	YML054C	lactate metabolic process [GO:0006089]; respiratory electron transport chain [GO:0022904]
P00330	ADH1	YOL086C	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; pyruvate fermentation to ethanol [GO:0019655]
P00331	ADH2	YMR303C	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol metabolic process [GO:0006067]
